"ordernbr","shipmentnumber","itemnbr","itemdescription","deliverydetailid","serialnumber","manufacturer","model","carrier","type","trackingnumber","grade","lpn","Warehouse","Unit_Selling_Price"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","359405081061911","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354867091625842","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354861093701651","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354865095716856","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354863093694548","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354877091495963","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","353039099495666","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354869093633618","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","353042099043254","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354861090025724","APPL","iPhone X","OTH","","522085707468","B+","W03PP1208471","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","353042098343937","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354864093754241","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","353046090147725","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354871093742829","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","359408087883932","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","354875093351101","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","359410085450045","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","359410081728154","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","359404083276155","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1603896","APPL.iPhone X.A1901.64GB.Silver.OTH.B+","","353048098408117","APPL","iPhone X","OTH","","522085707468","B+","W03PP1206111","W03-ATT","225"
"1139196","9713130","1614918","APPL.iPad Pro 11-inch.A2013.11.512GB.X.ATT.GSM.B+","","358693090328287","APPL","iPad Pro 11-inch","ATT","","522085707468","B+","W03S245060","W03-ATT","500"
